公司名称,职位,工作地点,薪资,发布时间
测试工程师,深圳市易思博酷客科技有限公司,武汉-东湖新技...,6-9千/月,3月27日
软件测试工程师,武汉英思博锐科技有限公司,武汉-汉阳区,4.5-6千/月,4月12日
高级软件测试工程师（烽火外包）,武汉新创云图科技有限公司,武汉-洪山区,0.8-1.2万/月,5月24日
软件测试(国际银行贸易金融),融捷科技（武汉）有限公司,武汉,0.6-1万/月,5月24日
软件测试工程师（5K-8K+双休+五险一金）,武汉市丰谊商务国际旅行社有限公司,武汉-武昌区,5-8千/月,5月24日
自动化软件测试工程师,南京问持新能源科技有限公司,武汉-江夏区,6-9千/月,5月24日
软件测试主管,武汉沐金科技股份有限公司,武汉,6-8千/月,5月24日
Java软件测试实习（双休）,湖北省零度银色冰雪实业有限公司,武汉-武昌区,4.5-7.5千/月,5月24日
软件测试项目经理,武汉华工科固建筑技术工程有限公司,武汉-洪山区,6.5-8千/月,5月24日
软件测试工程师（武汉-东西湖区）,杭州友声科技股份有限公司,武汉-东西湖区,4-8千/月,5月24日
Java软件测试（双休）,湖北华奥星空体育产业联盟发展有限公司,武汉-洪山区,4-6千/月,5月23日
性能/软件测试工程师,武汉大见时代网络科技有限公司,武汉,5-9千/月,5月24日
软件测试（19届应届生）,康博嘉信息科技（北京）股份有限公司武汉分公司,武汉,4.5-6千/月,5月24日
自动化软件测试工程师（武汉）,金华鸿正科技有限公司,武汉-江汉区,0.7-1.2万/月,5月24日
软件测试实习生,维书信息科技（上海）有限公司,武汉-武昌区,3-5千/月,5月20日
中级软件测试工程师,上海固锦信息技术有限公司,武汉-江汉区,5-7千/月,5月24日
软件测试工程师（GJB5000A ）,武汉迈力特通信有限公司,武汉,6-10万/年,5月24日
软件测试工程师（双休）,北京京师乐学教育科技有限公司武汉分公司,武汉-武昌区,4.5-6千/月,5月24日
电能表软件测试工程师,武汉盛帆电子股份有限公司,武汉,6-8千/月,5月24日
高级软件测试工程师/武汉,深圳市前海亿车科技有限公司,武汉-东湖新技...,0.7-1.2万/月,5月24日
WEB软件测试工程师,武汉英泰斯特电子技术有限公司,武汉-东湖新技...,6-8千/月,5月24日
高级软件测试工程师,武汉天喻信息产业股份有限公司,武汉,0.8-1万/月,4月24日
软件测试工程师（实习生）,北京合力亿捷科技股份有限公司,武汉-江汉区,3-4.5千/月,5月24日
软件测试工程师-武汉-01527,京北方信息技术股份有限公司,武汉,0.8-1.3万/月,5月24日
软件测试工程师（产品功能端）,深圳积木易搭科技技术有限公司,武汉-洪山区,4-8千/月,5月24日
软件测试（宝通寺/中南路）,北京腾赋网络科技有限公司,武汉-武昌区,0.8-1.5万/月,5月24日
"软件测试工程师(13薪,双休,五险一金)",武汉市诺通软件有限公司,武汉-江岸区,3-8千/月,5月24日
武汉软件测试,中讯志远（武汉）科技有限公司,武汉-武昌区,6-8千/月,5月24日
软件测试工程师（主管）,迈思腾科技（武汉）有限公司,武汉,0.8-1万/月,5月24日
软件测试工程师(武汉),浙江宇视科技有限公司,武汉-洪山区,0.6-1.2万/月,5月24日
嵌入式软件测试工程师（武汉）,东莞正扬电子机械有限公司,武汉-东湖新技...,1-2万/月,5月24日
软件测试工程师（电子科技）,大全集团有限公司,武汉,6-8千/月,5月24日
软件测试,湖北安心智能科技有限公司,武汉-东湖新技...,4-8千/月,5月17日
所属亘星智能公司软件测试工程师,武汉工控工业技术研究院有限公司,武汉-江岸区,0.7-1万/月,5月23日
嵌入式软件测试工程师,武汉英泰斯特电子技术有限公司,武汉-东湖新技...,6-8千/月,5月24日
软件测试工程师（武汉研发中心）,甘棠软件系统（上海）有限公司,武汉,5-8千/月,5月23日
英语支持（兼软件测试）,上海其易信息科技有限公司武汉分公司,武汉-洪山区,3-5千/月,5月23日
软件测试经理,武汉盛华伟业科技股份有限公司,武汉-洪山区,1-2万/月,5月23日
项目软件测试工程师,上海品依信息科技有限公司,武汉,6-8千/月,5月23日
JAVA软件测试工程师,电讯盈科 武汉,武汉,0.8-1万/月,5月23日
软件测试工程师（双休 提供住宿 朝九晚六）,武汉捌加柒科技有限公司,武汉,6-8千/月,5月23日
软件测试工程师（急招）,武汉安安物联科技有限公司,异地招聘,6-8千/月,5月9日
软件测试工程师（电装）,武汉光庭信息技术股份有限公司,武汉-东湖新技...,6-8千/月,5月23日
00459-软件测试工程师,湖北亿咖通科技有限公司,武汉-蔡甸区,0.8-1.5万/月,5月23日
软件测试工程师(应届生可),云智汇（武汉）科技服务有限公司,武汉-江夏区,4-8千/月,5月23日
软件测试学科导师(J11969),江苏传智播客教育科技股份有限公司武汉分公司,武汉-洪山区,1.5-2万/月,5月22日
软件测试工程师实习生,深圳开立生物医疗科技股份有限公司,武汉,3-4千/月,5月22日
软件测试工程师（中级）,维书信息科技（上海）有限公司,武汉,0.8-1.1万/月,5月20日
软件测试工程师(Anroid方向),北京易途客信息技术有限公司武汉分公司,武汉-江汉区,3-7千/月,5月22日
